scorer,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,715.64599609375,662.3681640625,0.9999988079071045,666.3653564453125,647.6543579101562,0.9999995231628418,713.7562255859375,628.0530395507812,0.9999997615814209,777.7522583007812,649.3232421875,0.9999931454658508
1,715.680908203125,662.3507690429688,0.9999987483024597,666.3174438476562,647.618408203125,0.9999995827674866,713.715087890625,628.0499877929688,0.9999997019767761,778.13720703125,649.9278564453125,0.9999931454658508
2,715.6182250976562,662.3399047851562,0.999998927116394,666.2567749023438,647.5858154296875,0.9999995231628418,713.7877197265625,627.9734497070312,0.9999997019767761,778.4871215820312,649.8186645507812,0.9999954700469971
3,715.6038208007812,662.3650512695312,0.999998927116394,666.2694702148438,647.5877075195312,0.9999995827674866,713.7328491210938,627.9677734375,0.9999997019767761,778.5005493164062,649.8217163085938,0.9999952912330627
4,715.5452270507812,662.4335327148438,0.9999988675117493,666.2614135742188,647.6035766601562,0.9999996423721313,713.7782592773438,628.01123046875,0.9999997019767761,778.465087890625,649.8701171875,0.9999954104423523
5,715.615966796875,662.3285522460938,0.9999988079071045,666.2637329101562,647.5916137695312,0.9999996423721313,713.725830078125,627.97265625,0.9999997615814209,779.0958862304688,649.7666015625,0.9999963045120239
6,715.54248046875,662.326171875,0.9999988675117493,666.22216796875,647.5785522460938,0.9999995231628418,713.7199096679688,627.9498291015625,0.9999997615814209,778.498291015625,649.9207763671875,0.9999953508377075
7,715.6298217773438,662.1996459960938,0.9999989867210388,666.3102416992188,647.5099487304688,0.9999995231628418,713.6094970703125,628.0048217773438,0.9999997615814209,779.119873046875,649.8652954101562,0.9999960660934448
8,715.6399536132812,662.1891479492188,0.9999990463256836,666.0406494140625,647.5194702148438,0.9999996423721313,713.6722412109375,627.9517211914062,0.9999997615814209,779.212646484375,649.9051513671875,0.9999961853027344
9,715.7440185546875,662.1639404296875,0.9999990463256836,665.966552734375,647.4832763671875,0.9999995827674866,713.7134399414062,627.9561767578125,0.9999997019767761,779.002685546875,649.932373046875,0.9999958276748657
10,715.771728515625,662.1342163085938,0.9999990463256836,665.9624633789062,647.482421875,0.9999995827674866,713.6688232421875,627.9695434570312,0.9999997615814209,779.1293334960938,649.908447265625,0.9999958276748657
11,715.6954345703125,662.2103881835938,0.9999990463256836,665.9318237304688,647.4868774414062,0.9999995827674866,713.6431274414062,627.9684448242188,0.9999997615814209,779.0963134765625,649.9539184570312,0.9999956488609314
12,715.7306518554688,662.1365356445312,0.9999991655349731,665.9343872070312,647.5562744140625,0.9999996423721313,713.6285400390625,628.0064697265625,0.9999996423721313,779.2259521484375,649.9601440429688,0.9999955296516418
13,715.7952270507812,662.1016235351562,0.9999990463256836,665.9619140625,647.5733642578125,0.9999996423721313,713.6013793945312,628.0426635742188,0.9999997615814209,779.3214111328125,649.91455078125,0.9999959468841553
14,715.7796020507812,662.1165161132812,0.999998927116394,665.9725952148438,647.5858764648438,0.9999995827674866,713.5725708007812,628.0259399414062,0.9999997019767761,779.277587890625,649.9268188476562,0.999995768070221
15,715.78662109375,662.1023559570312,0.9999990463256836,665.9581909179688,647.5741577148438,0.9999996423721313,713.5443115234375,628.01708984375,0.9999996423721313,779.2590942382812,649.9334106445312,0.9999955892562866
16,715.90185546875,662.0610961914062,0.9999990463256836,666.081298828125,647.5851440429688,0.9999995231628418,713.59033203125,628.0266723632812,0.9999997019767761,779.347412109375,649.93359375,0.9999955296516418
17,715.8387451171875,662.0926513671875,0.9999990463256836,665.8265380859375,647.514892578125,0.9999995827674866,713.6640625,628.0592651367188,0.9999997615814209,779.7615356445312,649.9153442382812,0.9999957084655762
18,715.8413696289062,662.1203002929688,0.9999989867210388,665.8314819335938,647.5167846679688,0.9999996423721313,713.6345825195312,628.07470703125,0.9999997615814209,779.7903442382812,649.9929809570312,0.9999958276748657
19,715.8203125,662.1668090820312,0.9999990463256836,665.7979736328125,647.5218505859375,0.9999995827674866,713.6879272460938,628.1104125976562,0.9999997615814209,779.6156005859375,649.9456176757812,0.9999956488609314
20,715.6517333984375,662.251953125,0.9999990463256836,665.8499145507812,647.5580444335938,0.9999996423721313,713.5956420898438,628.1165771484375,0.9999997019767761,779.7571411132812,649.9703369140625,0.9999957084655762
21,715.6751708984375,662.2532348632812,0.9999990463256836,665.84619140625,647.6100463867188,0.9999995827674866,713.575439453125,628.1356811523438,0.9999996423721313,779.6376953125,649.9489135742188,0.9999959468841553
22,715.6741333007812,662.2650146484375,0.9999990463256836,665.8408813476562,647.5956420898438,0.9999995827674866,713.626708984375,628.1295166015625,0.9999997019767761,779.5836181640625,649.9515991210938,0.9999960660934448
23,715.7222900390625,662.238037109375,0.999998927116394,665.8422241210938,647.5999145507812,0.9999995231628418,713.6015625,628.1395263671875,0.9999997615814209,779.57666015625,649.9532470703125,0.9999958276748657
24,715.6093139648438,662.3030395507812,0.9999989867210388,665.76953125,647.6488647460938,0.9999996423721313,713.5047607421875,628.077392578125,0.9999997019767761,779.7680053710938,649.853515625,0.9999961853027344
25,715.5963745117188,662.4039916992188,0.9999988079071045,665.7796020507812,647.62060546875,0.9999996423721313,713.5335083007812,628.0359497070312,0.9999996423721313,779.6009521484375,649.84716796875,0.9999961853027344
26,715.5999145507812,662.3942260742188,0.9999988079071045,665.8198852539062,647.5872802734375,0.9999996423721313,713.549072265625,628.0895385742188,0.9999997615814209,779.6263427734375,649.8198852539062,0.9999961256980896
27,715.5751342773438,662.41796875,0.999998927116394,665.6951293945312,647.6094970703125,0.9999996423721313,713.5164794921875,628.1008911132812,0.9999997019767761,779.7081909179688,649.831298828125,0.9999960660934448
28,715.6355590820312,662.4122924804688,0.999998927116394,665.8090209960938,647.7184448242188,0.9999996423721313,713.4725341796875,628.052490234375,0.9999997019767761,779.76953125,649.8243408203125,0.9999957084655762
29,715.6358032226562,662.4075927734375,0.9999989867210388,665.9448852539062,647.6809692382812,0.9999995827674866,713.3422241210938,628.1150512695312,0.9999997615814209,779.7323608398438,649.8289184570312,0.9999956488609314
30,715.6331787109375,662.4761962890625,0.9999988079071045,665.9328002929688,647.6595458984375,0.9999996423721313,713.3583984375,628.1110229492188,0.9999997615814209,779.7097778320312,649.8123779296875,0.9999958276748657
31,715.5853271484375,662.5365600585938,0.999998927116394,665.9505004882812,647.565185546875,0.9999996423721313,713.3624877929688,628.1732788085938,0.9999997615814209,779.7120971679688,649.80078125,0.9999958872795105
32,715.4478149414062,662.4099731445312,0.9999986886978149,665.9369506835938,647.5428466796875,0.9999996423721313,713.312744140625,628.0340576171875,0.9999997615814209,779.8433227539062,649.7700805664062,0.9999959468841553
33,715.3668823242188,662.4376220703125,0.9999986886978149,666.0914916992188,647.5516357421875,0.9999995231628418,713.1731567382812,628.0252075195312,0.9999997615814209,779.7689819335938,649.7877197265625,0.9999958276748657
34,715.3414306640625,662.4737548828125,0.9999987483024597,666.0095825195312,647.5377807617188,0.9999995827674866,713.1349487304688,627.97412109375,0.9999997615814209,779.7722778320312,649.7778930664062,0.9999958872795105
35,715.3527221679688,662.4669189453125,0.9999987483024597,666.0036010742188,647.53271484375,0.9999996423721313,713.1259765625,627.96240234375,0.9999997615814209,779.7131958007812,649.8158569335938,0.9999955892562866
36,715.43115234375,662.4309692382812,0.9999988079071045,665.9320678710938,647.49755859375,0.9999996423721313,713.0958251953125,627.9393920898438,0.9999997615814209,780.0164184570312,649.7692260742188,0.9999961853027344
37,715.4638061523438,662.4656982421875,0.9999987483024597,665.8829345703125,647.4992065429688,0.9999996423721313,713.0916137695312,627.9877319335938,0.9999997615814209,779.98095703125,649.7666625976562,0.9999963641166687
38,715.3672485351562,662.4259643554688,0.999998927116394,665.8502197265625,647.5081787109375,0.9999996423721313,713.1242065429688,627.9207153320312,0.9999997615814209,779.8919677734375,649.7333984375,0.9999964237213135
39,715.388427734375,662.4002685546875,0.9999988079071045,665.8375854492188,647.5182495117188,0.9999996423721313,713.1114501953125,627.936767578125,0.9999997615814209,779.9925537109375,649.7366333007812,0.9999964237213135
40,715.406494140625,662.4241943359375,0.999998927116394,665.8841552734375,647.5208129882812,0.9999996423721313,713.186767578125,627.9446411132812,0.9999997019767761,780.0189819335938,649.76953125,0.9999966621398926
41,715.4063110351562,662.3623046875,0.999998927116394,665.9959106445312,647.5474243164062,0.9999996423721313,713.1544799804688,627.9569091796875,0.9999996423721313,779.8405151367188,649.8172607421875,0.9999964237213135
42,715.4502563476562,662.3392944335938,0.999998927116394,666.0166015625,647.5686645507812,0.9999996423721313,713.1219482421875,627.9545288085938,0.9999997615814209,779.9725341796875,649.7874755859375,0.9999966621398926
